Date,Open,High,Low,Close,Adj Close,Volume
2016-12-06,133.520004,134.910004,132.740005,134.589996,128.025757,27820000
2016-12-07,134.589996,136.179993,134.179993,135.899994,129.271881,31825800
2016-12-08,136.250000,138.210007,135.800003,138.039993,131.307495,49048900
2016-12-09,138.399994,138.820007,137.750000,138.309998,131.564346,34313500
2016-12-12,137.949997,138.570007,136.509995,136.850006,130.175537,34592900
2016-12-13,137.529999,138.050003,136.240005,136.860001,130.185074,32624600
2016-12-14,136.419998,137.350006,134.809998,135.149994,128.558456,45923700
2016-12-15,135.369995,137.139999,134.960007,136.160004,129.519211,41352500
2016-12-16,136.350006,137.529999,135.630005,135.910004,129.281448,39348200
2016-12-19,136.039993,137.190002,135.910004,136.800003,130.127975,33393900
2016-12-20,137.279999,138.210007,136.990005,137.960007,131.231430,31753600
2016-12-21,137.850006,138.149994,137.009995,137.059998,130.375305,23215900
2016-12-22,136.559998,136.750000,134.809998,135.320007,129.251099,34737900
2016-12-23,135.460007,136.119995,135.270004,136.039993,129.938812,17081400
2016-12-27,136.229996,137.300003,136.210007,136.649994,130.521454,13571700
2016-12-28,136.889999,136.979996,134.830002,135.250000,129.184265,22712400
2016-12-29,135.289993,136.259995,134.690002,135.369995,129.298874,21312900
2016-12-30,135.600006,135.630005,134.399994,134.850006,128.802216,28399300
2017-01-03,136.490005,136.830002,134.500000,135.520004,129.442154,29792400
2017-01-04,136.050003,137.960007,136.009995,137.779999,131.600784,34499400
2017-01-05,137.490005,137.759995,135.509995,136.190002,130.082092,30286900
2017-01-06,136.410004,136.710007,135.679993,135.690002,129.604523,23436000
2017-01-09,135.539993,135.720001,134.500000,134.800003,128.754440,24077900
2017-01-10,135.000000,136.380005,134.759995,136.089996,129.986572,21684900
2017-01-11,136.229996,136.789993,135.419998,136.330002,130.215820,27428800
2017-01-12,136.160004,136.220001,133.589996,135.279999,129.212906,41844200
2017-01-13,135.649994,136.970001,135.649994,136.259995,130.148926,27784500
2017-01-17,135.600006,135.690002,134.130005,134.410004,128.381927,28197800
2017-01-18,134.759995,134.940002,133.949997,134.850006,128.802216,21289700
2017-01-19,135.139999,135.440002,133.169998,133.750000,127.751526,34105900
2017-01-20,133.750000,134.880005,133.750000,134.440002,128.410583,29286100
2017-01-23,134.029999,134.679993,133.119995,133.880005,127.875694,20537000
2017-01-24,134.339996,136.279999,134.220001,135.929993,129.833725,34313800
2017-01-25,137.059998,137.550003,136.949997,137.210007,131.056381,29127300
2017-01-26,137.339996,137.500000,136.419998,136.660004,130.531006,22255600
2017-01-27,136.770004,137.039993,135.649994,136.190002,130.082092,19467800
2017-01-30,135.229996,135.240005,133.240005,134.289993,128.267303,40464400
2017-01-31,133.869995,135.559998,133.479996,135.229996,129.165161,32945000
2017-02-01,136.220001,136.869995,134.699997,135.149994,129.088715,30010500
2017-02-02,135.300003,135.669998,134.490005,134.809998,128.763977,19935700
2017-02-03,135.990005,136.979996,135.509995,136.869995,130.731598,24534100
2017-02-06,136.399994,136.779999,135.429993,135.839996,129.747742,23691500
2017-02-07,135.820007,136.470001,134.770004,135.240005,129.174683,30342200
2017-02-08,135.240005,135.240005,133.889999,135.000000,128.945480,32956900
2017-02-09,135.000000,137.250000,135.000000,136.899994,130.760208,28267600
2017-02-10,137.789993,138.369995,137.199997,137.940002,131.753601,27287600
2017-02-13,138.770004,139.210007,138.089996,138.300003,132.097458,23245100
2017-02-14,137.940002,138.949997,137.610001,138.759995,132.536835,27145000
2017-02-15,138.190002,139.770004,138.070007,139.589996,133.329590,20253500
2017-02-16,139.460007,139.839996,138.210007,139.199997,132.957108,24613600
2017-02-17,138.449997,139.160004,138.250000,139.110001,132.871140,26703200
2017-02-21,139.380005,140.320007,139.380005,140.199997,133.912247,21353500
2017-02-22,140.000000,140.020004,139.250000,139.580002,133.320053,14890800
2017-02-23,139.960007,140.009995,137.690002,138.750000,132.527298,24596200
2017-02-24,137.460007,138.649994,137.300003,138.649994,132.431747,24512300
2017-02-27,138.339996,140.000000,138.210007,140.000000,133.721222,28269000
2017-02-28,139.380005,139.479996,137.759995,137.839996,131.658066,40184100
2017-03-01,139.649994,140.860001,139.520004,140.360001,134.065063,35719800
2017-03-02,140.330002,140.360001,138.639999,138.750000,132.527298,25937000
2017-03-03,138.800003,139.419998,137.880005,138.649994,132.431747,30989800
2017-03-06,137.779999,137.970001,136.990005,137.699997,131.524399,23892100
2017-03-07,137.399994,137.740005,136.610001,136.800003,130.664749,29711300
2017-03-08,137.279999,137.619995,135.779999,135.899994,129.805099,34115100
2017-03-09,135.830002,136.490005,134.889999,135.360001,129.289307,35223800
2017-03-10,136.289993,136.309998,134.839996,135.960007,129.862411,39516600
2017-03-13,135.649994,136.789993,135.649994,136.279999,130.168076,21295000
2017-03-14,135.750000,135.830002,134.559998,135.630005,129.547226,30037800
2017-03-15,136.289993,138.020004,135.970001,137.729996,131.552994,31230400
2017-03-16,138.220001,138.509995,137.559998,137.910004,131.724945,25306600
2017-03-17,138.139999,138.729996,137.309998,138.460007,132.250305,33324600
2017-03-20,138.279999,138.520004,137.369995,137.860001,131.677185,19091200
